city,country,housing,cost_of_living,startups,venture_capital,travel_connectivity,commute,business_freedom,safety,healthcare,education,environmental_quality,economy,taxation,internet_access,leisure_and_culture,tolerance,outdoors,population,city_wd,gps_lon,gps_lat,year_high_c,year_mean_c,year_low_c,year_precipitation_mm,human_freedom,economic_freedom,personal_freedom
Columbus,United States,6.29,5.746,5.879,4.973,1.663,5.027,8.671,5.282,6.406,5.047,8.166,6.514,3.92,4.554,6.466,5.922,4.545,787033,http://www.wikidata.org/entity/Q16567,-82.983333333,39.983333333,16.9,,6.8,998.4,23,7,33
Dallas,United States,5.259,6.091,7.94,4.916,4.746,4.47,8.671,4.339,6.087,4.284,6.693,6.514,4.772,6.461,7.168,5.294,4.502,1197816,http://www.wikidata.org/entity/Q16557,-96.7975,32.7825,25,,14.1,954.3,23,7,33
Denver,United States,3.838,5.102,7.864,6.117,4.243,4.53,8.671,5.371,6.22,3.624,7.117,6.514,4.346,5.419,6.224,7.86,7.933,649495,http://www.wikidata.org/entity/Q16554,-104.984722222,39.739166666,18.1,10.1,2.3,363.2,23,7,33
Des Moines,United States,6.851,6.327,2.912,1.818,1.379,2.072,8.671,6.984,6.709,3.624,8.682,6.514,4.346,5.698,6.066,8.476,3.3,203433,http://www.wikidata.org/entity/Q39709,-93.620833333,41.590833333,15.7,,5.2,914.9,23,7,33
Detroit,United States,6.223,6.032,5.402,5.184,3.64,0.933,8.671,4.462,5.786,5.818,4.047,6.514,3.778,6.167,7.478,3.678,5.387,680250,http://www.wikidata.org/entity/Q12439,-83.0475,42.331666666,14.9,10.1,5.4,850.3,23,7,33
Eugene,United States,6.713,5.021,3.087,1.964,1.192,5.627,8.671,6.172,6.567,4.174,8.231,6.514,3.92,4.756,2.956,8.97,3.533,156185,http://www.wikidata.org/entity/Q171224,-123.085555555,44.051944444,17.4,,5.3,1170.9,23,7,33
Fort Collins,United States,2.745,0.0,4.044,0.0,1.102,2.008,8.671,6.935,6.831,4.174,9.953,6.514,4.346,5.302,2.746,9.48,6.187,143986,http://www.wikidata.org/entity/Q490732,-105.083333333,40.566666666,17.6,,2.5,409.6,23,7,33
Honolulu,United States,2.342,2.867,4.134,0.0,1.983,4.162,8.671,6.857,6.431,4.28,6.094,6.514,4.204,6.158,7.623,7.774,5.918,390738,http://www.wikidata.org/entity/Q18094,-157.826111111,21.308888888,29.1,25.4,21.6,,23,7,33
Houston,United States,5.225,6.162,7.934,4.474,4.339,4.031,8.671,3.129,6.379,4.928,5.305,6.514,4.772,6.248,7.144,5.34,5.386,2195914,http://www.wikidata.org/entity/Q16555,-95.383055555,29.762777777,26.1,21.2,16.4,1387.9,23,7,33
Indianapolis,United States,6.266,5.478,5.503,3.96,1.682,4.859,8.671,3.968,6.151,3.624,6.16,6.514,4.062,5.876,7.299,6.87,3.965,863002,http://www.wikidata.org/entity/Q6346,-86.158055555,39.767777777,16.9,11.7,6.5,1077.9,23,7,33
Jacksonville,United States,6.45,5.359,4.348,2.545,1.567,1.406,8.671,3.826,6.199,3.624,7.12,6.514,4.772,6.158,5.655,5.679,5.013,880619,http://www.wikidata.org/entity/Q16568,-81.65,30.316666666,26.3,,14.3,1330.6,23,7,33
Kansas City,United States,6.708,5.844,2.794,3.538,1.869,1.973,8.671,4.423,6.45,3.624,7.976,6.514,4.062,8.189,6.675,5.02,4.162,459787,http://www.wikidata.org/entity/Q41819,-94.583333333,39.05,18.8,,8.5,992.1,23,7,33
Knoxville,United States,6.975,6.447,3.516,0.0,1.379,1.943,8.671,5.13,6.422,4.212,3.723,6.514,4.772,7.092,4.496,5.402,1.752,178874,http://www.wikidata.org/entity/Q185582,-83.95,35.966666666,20.8,,9.3,1215.8,23,7,33
Las Vegas,United States,7.001,5.759,7.515,2.022,3.528,4.807,8.671,2.385,5.635,3.624,5.557,6.514,4.772,5.304,6.368,7.275,5.385,648224,http://www.wikidata.org/entity/Q23768,-115.144722222,36.169166666,26.7,20.7,14.8,106.4,23,7,33
Los Angeles,United States,1.528,4.556,10.0,10.0,3.958,3.677,8.575,5.705,6.027,8.624,4.732,6.514,4.768,5.497,9.196,6.96,6.747,3976322,http://www.wikidata.org/entity/Q65,-118.25,34.05,27,17.8,8.6,,23,7,33
Louisville,United States,7.258,6.358,4.254,2.293,1.473,1.954,8.671,3.618,6.162,3.624,6.601,6.514,4.062,5.527,5.694,5.778,1.3,760026,http://www.wikidata.org/entity/Q43668,-85.760277777,38.254166666,19.8,,9.2,1140.9,23,7,33
Madison,United States,5.83,6.173,4.017,2.913,1.23,5.474,8.671,7.362,7.007,5.386,9.524,6.514,4.204,4.992,4.422,7.9,4.376,236901,http://www.wikidata.org/entity/Q43788,-89.384444444,43.074722222,13.2,,2.7,875.9,23,7,33
Memphis,United States,7.115,5.829,4.449,0.0,1.662,1.918,8.671,2.859,4.951,3.624,4.545,6.514,4.772,6.07,6.86,4.041,3.57,646889,http://www.wikidata.org/entity/Q16563,-89.971111111,35.1175,22.4,17.2,12,1363.5,23,7,33
Miami,United States,3.031,4.497,8.023,5.055,4.169,4.053,8.671,4.321,6.031,4.394,6.292,6.514,4.772,5.824,6.768,6.044,5.384,417650,http://www.wikidata.org/entity/Q8652,-80.216666666,25.783333333,29,25.1,21.1,,23,7,33
Milwaukee,United States,6.122,5.526,4.83,2.005,1.588,4.915,8.671,4.267,6.082,4.177,7.989,6.514,4.204,4.346,6.838,4.844,5.064,600155,http://www.wikidata.org/entity/Q37836,-87.95,43.05,13,,4.4,882.9,23,7,33
Minneapolis,United States,4.739,5.042,6.526,5.523,3.544,4.925,8.671,5.085,6.681,5.274,8.362,6.514,4.062,6.258,6.85,7.288,5.096,400070,http://www.wikidata.org/entity/Q36091,-93.26384,44.97997,12.9,7.9,2.9,777.5,23,7,33
Nashville,United States,4.454,5.742,6.06,3.569,1.908,4.501,8.671,5.078,5.953,4.733,7.056,6.514,4.772,6.637,7.02,6.808,1.274,668347,http://www.wikidata.org/entity/Q23197,-86.783888888,36.165,21,,9.4,1200.2,23,7,33
New Orleans,United States,5.339,4.992,4.736,1.21,1.757,4.628,8.671,2.088,5.884,4.152,5.674,6.514,4.346,6.453,7.198,5.124,1.0,378715,http://www.wikidata.org/entity/Q34404,-90.07507,29.95465,,,,,23,7,33
New York,United States,1.0,2.342,10.0,10.0,6.675,5.519,8.671,7.022,6.105,8.094,5.234,6.514,3.92,7.098,10.0,6.712,5.748,8537673,http://www.wikidata.org/entity/Q60,-73.94,40.67,16.6,,8.8,1268.4,23,7,33
Oklahoma City,United States,7.261,6.394,4.138,0.0,1.399,5.027,8.671,4.686,5.977,3.624,7.615,6.514,4.204,7.689,5.376,6.022,4.129,591967,http://www.wikidata.org/entity/Q34863,-97.5352,35.4823,22.3,16.4,10.4,927.5,23,7,33
Omaha,United States,7.041,5.994,4.012,0.0,1.416,2.128,8.671,5.552,6.894,4.128,7.876,6.514,4.204,6.306,4.942,5.801,4.181,466893,http://www.wikidata.org/entity/Q43199,-96.016666666,41.266666666,16.6,10.6,4.6,777.8,23,7,33
Orlando,United States,5.778,5.284,6.598,2.464,3.774,4.339,8.671,4.134,5.967,3.624,6.676,6.514,4.772,4.886,5.93,5.784,4.493,277173,http://www.wikidata.org/entity/Q49233,-81.386666666,28.533611111,28.2,22.7,17.1,,23,7,33
Palo Alto,United States,0.5,0.0,8.294,9.623,3.151,2.203,8.671,7.637,6.515,3.624,6.727,6.514,4.488,7.142,0.0,8.454,1.75,64403,http://www.wikidata.org/entity/Q47265,-122.138055555,37.429166666,21.3,,8.1,413,23,7,33
Philadelphia,United States,4.207,4.422,7.362,5.216,3.556,4.132,8.671,3.133,6.483,6.028,5.124,6.514,3.778,7.443,8.492,5.865,4.115,1580863,http://www.wikidata.org/entity/Q1345,-75.163333333,39.953055555,18.1,13.2,8.3,1054.8,23,7,33
Phoenix,United States,6.533,6.208,6.509,4.558,3.302,4.829,8.671,2.583,6.126,4.591,4.625,6.514,4.488,6.178,6.81,5.565,6.736,1469471,http://www.wikidata.org/entity/Q16556,-112.076388888,33.528333333,30.3,23.9,17.4,204,23,7,33
Pittsburgh,United States,5.964,4.795,6.508,3.581,1.738,4.308,8.671,4.791,6.4,6.594,6.874,6.514,3.778,8.67,6.859,7.39,4.068,305704,http://www.wikidata.org/entity/Q1342,-79.99589,40.44062,15.9,,5.5,970,23,7,33
Portland,United States,0.0,0.0,3.637,0.0,1.102,1.97,8.671,6.358,5.175,3.624,7.675,6.514,4.062,3.546,3.305,8.271,4.978,583776,http://www.wikidata.org/entity/Q6106,-122.666666666,45.516666666,17.3,,7.6,915.1,23,7,33
Portland,United States,4.138,4.924,6.957,5.899,2.24,4.908,8.671,5.18,6.318,4.216,8.46,6.514,3.92,5.969,6.22,8.159,6.304,583776,http://www.wikidata.org/entity/Q6106,-122.666666666,45.516666666,17.3,,7.6,915.1,23,7,33
Providence,United States,3.153,0.0,3.764,1.0,3.018,2.422,8.671,6.846,6.515,5.302,5.9,6.514,4.204,8.934,3.919,7.49,1.084,178042,http://www.wikidata.org/entity/Q18383,-71.41283,41.82399,15.9,,5.8,1198.5,23,7,33
Raleigh,United States,6.129,5.61,5.497,5.157,1.757,4.784,8.671,6.522,6.677,7.116,8.584,6.514,4.062,7.952,6.613,7.562,3.391,439896,http://www.wikidata.org/entity/Q41087,-78.644722222,35.818888888000004,22,,10,1100.7,23,7,33
Richmond,United States,6.44,5.949,4.27,2.097,1.38,5.648,8.671,3.376,6.488,3.624,6.622,6.514,4.204,7.645,6.338,7.151,1.035,223170,http://www.wikidata.org/entity/Q43421,-77.466666666,37.533333333,20.9,,8.9,1107.5,23,7,33
Rochester,United States,6.727,5.488,4.336,1.505,1.398,1.908,8.671,5.899,6.106,4.495,5.935,6.514,3.92,5.551,5.335,5.902,4.404,210565,http://www.wikidata.org/entity/Q49218,-77.611388888,43.165555555,13.9,,4,870.4,23,7,33
Salt Lake City,United States,6.141,6.172,6.3,7.09,2.737,4.574,8.671,5.657,6.246,4.28,6.216,6.514,4.204,6.811,5.932,8.622,6.641,186440,http://www.wikidata.org/entity/Q23337,-111.883333333,40.75,17.6,11.5,5.4,408.9,23,7,33
San Antonio,United States,6.402,6.683,5.356,3.53,1.682,4.965,8.671,4.216,6.307,4.152,6.201,6.514,4.772,8.074,6.696,6.254,3.419,1436697,http://www.wikidata.org/entity/Q975,-98.493333333,29.428611111,26.8,,14.8,819.8,23,7,33
San Diego,United States,2.934,5.156,8.35,8.595,2.622,4.41,8.671,6.933,6.52,5.458,7.267,6.514,4.488,5.999,8.21,8.54,6.396,1394928,http://www.wikidata.org/entity/Q16552,-117.1625,32.715,20.9,,14.2,,23,7,33
San Francisco,United States,1.0,2.618,10.0,10.0,3.655,4.687,8.671,5.716,6.449,8.624,6.482,6.514,4.488,5.606,9.407,8.013,7.014,805235,http://www.wikidata.org/entity/Q62,-122.433333,37.766667,17.7,14.1,10.4,,23,7,33
San Luis Obispo,United States,1.724,0.0,3.828,3.077,1.134,1.392,8.671,8.058,5.871,3.624,7.392,6.514,4.488,7.936,2.776,9.666,1.508,45119,http://www.wikidata.org/entity/Q49012,-120.663055555,35.274166666,20.5,15,9.4,587,23,7,33
Seattle,United States,2.291,3.79,8.367,7.551,2.884,4.524,8.671,5.636,6.31,5.714,7.56,6.514,4.772,4.94,8.116,8.089,7.209,608660,http://www.wikidata.org/entity/Q5083,-122.33207,47.60621,15.7,11.4,7.2,952.4,23,7,33
St. Louis,United States,6.958,5.504,5.424,3.885,2.532,5.086,8.671,3.881,6.67,5.272,7.374,6.514,4.062,8.909,7.643,4.376,4.828,318416,http://www.wikidata.org/entity/Q38022,-90.2,38.616666666,19,13.9,8.8,1040.3,23,7,33
Tampa,United States,5.696,5.253,6.347,3.778,2.906,1.401,8.671,4.706,6.573,4.28,7.379,6.514,4.772,7.195,6.434,5.36,5.497,347645,http://www.wikidata.org/entity/Q49255,-82.464722222,27.970833333,27.6,,18.4,,23,7,33
Washington,United States,1.21,3.595,8.774,8.056,4.505,4.457,8.671,2.192,6.258,5.969,6.994,6.514,4.062,3.826,10.0,6.55,5.023,672228,http://www.wikidata.org/entity/Q61,-77.036666666,38.895,19.3,,9.7,1009.3,23,7,33
Almaty,Kazakhstan,9.282,9.333,2.458,0.0,4.592,5.871,5.568,7.309,4.546,2.283,3.857,5.269,8.522,2.886,2.937,6.54,5.5,1703500,http://www.wikidata.org/entity/Q35493,76.9,43.25,15.8,10,5,684,107,49,119
Amsterdam,Netherlands,3.053,3.824,7.972,6.107,8.324,6.118,8.837,8.504,7.907,6.18,7.597,5.053,4.955,4.523,8.874,8.368,5.307,851573,http://www.wikidata.org/entity/Q727,4.9,52.383333333,13.8,10.2,6.4,838.2,9,17,10
Eindhoven,Netherlands,6.252,5.125,3.54,3.017,4.807,6.032,8.837,9.107,8.559,5.08,8.805,5.053,4.955,7.659,4.334,9.342,4.628,227751,http://www.wikidata.org/entity/Q9832,5.484166666,51.434444444,14.5,10.3,5.8,763.1,9,17,10
Rotterdam,Netherlands,6.044,4.934,4.43,2.83,8.18,5.967,8.837,8.268,8.329,4.307,7.087,5.053,4.955,5.853,5.427,8.28,4.281,631155,http://www.wikidata.org/entity/Q34370,4.47917,51.9225,14,10.3,6.4,855.6,9,17,10
The Hague,Netherlands,6.053,4.653,3.864,1.107,8.001,5.061,8.837,8.789,8.214,4.307,8.284,5.053,4.955,6.514,5.014,8.553,4.924,515880,http://www.wikidata.org/entity/Q36600,4.3175,52.084166666,13.5,10.2,6.6,841.2,9,17,10
Utrecht,Netherlands,5.466,4.604,3.915,1.929,8.072,5.99,8.837,8.631,8.394,5.592,8.095,5.053,4.955,6.676,5.373,8.566,4.696,343779,http://www.wikidata.org/entity/Q803,5.115555555,52.088888888,14.1,10.1,6,832.5,9,17,10
Ankara,Turkey,9.928,9.125,3.973,0.0,2.047,5.291,5.948,7.425,6.914,2.029,2.936,4.094,4.323,2.316,8.638,4.486,5.146,5270575,http://www.wikidata.org/entity/Q3640,32.866666666,39.866666666,17.9,12,6.4,402.2,130,112,137
Istanbul,Turkey,9.138,8.787,6.954,2.111,5.836,4.066,5.948,6.894,6.84,2.152,3.405,4.094,4.323,3.5,10.0,3.892,5.744,14657434,http://www.wikidata.org/entity/Q406,28.960277777,41.01,17.5,14.4,10.8,817.4,130,112,137
Asuncion,Paraguay,9.226,9.295,2.207,0.0,0.645,4.969,3.684,6.934,5.485,0.0,3.969,4.109,8.423,1.479,5.992,7.051,3.485,524190,http://www.wikidata.org/entity/Q2933,-57.633333333,-25.3,28.4,22.7,18.2,,72,78,83
Athens,Greece,9.052,6.5,4.404,2.325,3.707,5.22,6.169,6.758,7.153,3.162,3.802,3.32,4.166,2.228,7.876,6.268,6.483,664046,http://www.wikidata.org/entity/Q1524,23.716111111,37.979444444,23.3,19.1,15,,57,85,49
Thessaloniki,Greece,9.378,6.6,3.25,0.0,2.26,5.914,6.169,7.992,7.509,3.164,3.338,3.32,4.166,2.596,7.689,7.523,4.665,315196,http://www.wikidata.org/entity/Q17151,22.95,40.633333333,20.7,16.1,11.5,440.3,57,85,49
Auckland,New Zealand,4.72,4.47,4.588,2.79,1.305,4.845,10.0,7.022,8.163,5.046,8.272,5.506,5.932,6.85,4.396,7.402,5.862,1454300,http://www.wikidata.org/entity/Q37100,174.783333333,-36.85,19,15.1,11.3,,2,4,11
Christchurch,New Zealand,6.934,5.096,1.536,0.0,0.833,5.518,10.0,7.585,8.312,4.756,9.256,5.506,5.932,5.922,3.224,8.404,6.269,362000,http://www.wikidata.org/entity/Q79990,172.620277777,-43.53,16.8,11.6,6.4,,2,4,11
Wellington,New Zealand,5.134,5.161,2.472,1.753,0.852,6.04,10.0,8.223,8.078,4.756,9.609,5.506,5.932,5.174,4.599,8.116,6.397,398300,http://www.wikidata.org/entity/Q23661,174.777222222,-41.288888888,16.6,13.6,10.6,,2,4,11
Baku,Azerbaijan,9.745,9.806,2.67,0.0,2.169,5.492,5.672,8.772,3.702,0.0,2.621,3.876,5.861,1.442,6.22,6.585,4.503,2181800,http://www.wikidata.org/entity/Q9248,49.835183333,40.366655555,18.1,15.1,12,210,131,119,128
Bangkok,Thailand,7.394,7.222,6.119,3.453,4.112,4.294,5.604,7.036,7.127,1.692,3.371,2.387,6.795,4.826,9.089,6.019,6.494,11069982,http://www.wikidata.org/entity/Q170919,100.871944444,12.923055555,31.3,27.8,25,,104,86,107
Chiang Mai,Thailand,9.372,8.495,1.783,0.0,1.694,5.141,5.604,8.453,7.394,1.688,3.981,2.387,6.795,4.286,6.848,6.872,3.088,132634,http://www.wikidata.org/entity/Q52028,98.983333333,18.788888888,32.2,25.8,20.8,,104,86,107
Barcelona,Spain,6.323,6.074,7.759,5.655,5.806,5.699,7.12,7.407,8.403,5.029,3.666,4.296,3.894,6.468,8.591,7.472,5.828,1620809,http://www.wikidata.org/entity/Q1492,2.176944444,41.3825,21.2,18.2,15.1,571.9,31,28,35
Bilbao,Spain,6.888,5.638,2.668,0.0,4.174,5.775,7.12,8.78,9.321,3.759,8.328,4.296,3.894,5.756,6.014,8.663,1.481,345110,http://www.wikidata.org/entity/Q8692,-2.953333333,43.262222222,19.5,14.7,9.9,1122,31,28,35
Las Palmas de Gran Canaria,Spain,8.232,7.717,1.584,0.0,4.323,0.0,7.12,9.154,9.214,3.759,6.86,4.296,3.894,6.196,2.814,9.718,5.538,377650,http://www.wikidata.org/entity/Q11974,-15.431388888,28.127222222,24.2,21.2,18.2,148.6,31,28,35
Madrid,Spain,6.414,6.249,0.0,4.79,5.856,5.286,7.12,7.792,8.916,4.292,5.566,4.296,3.894,6.241,9.338,7.665,6.22,3223000,http://www.wikidata.org/entity/Q15684,-4.116666666,40.95,17.9,12.4,6.9,474,31,28,35
Malaga,Spain,8.052,7.375,2.458,0.0,4.36,5.783,7.12,7.693,8.656,3.759,8.108,4.296,3.894,6.19,6.389,7.5,5.784,569002,http://www.wikidata.org/entity/Q8851,-4.416666666,36.716666666,23.3,18.5,13.7,535,31,28,35
Seville,Spain,8.096,6.961,1.148,0.0,3.477,5.567,7.12,8.93,8.221,4.26,7.221,4.296,3.894,6.19,7.416,9.265,3.033,689434,http://www.wikidata.org/entity/Q8717,-5.983333333,37.383333333,25.4,19.2,13,539,31,28,35
Valencia,Spain,8.136,6.872,1.747,2.583,3.484,5.809,7.12,7.786,8.886,4.266,5.942,4.296,3.894,9.14,7.078,7.935,6.332,787808,http://www.wikidata.org/entity/Q8818,-0.375,39.466666666,22.8,18.3,13.8,475,31,28,35
Beirut,Lebanon,6.656,6.3,3.409,0.0,1.305,4.773,4.329,6.833,6.159,1.004,1.449,3.435,8.28,1.59,3.4,4.184,3.842,361366,http://www.wikidata.org/entity/Q3820,35.513055555,33.886944444,24.2,20.9,17.7,825.5,121,154,101
Belfast,United Kingdom,7.532,6.014,3.55,1.621,4.098,5.28,8.992,7.679,8.168,4.687,8.378,5.438,5.954,5.596,4.957,5.98,1.413,336830,http://www.wikidata.org/entity/Q10686,-5.938333333,54.596666666,13.2,9.7,6.1,938.8,20,22,23
Birmingham,United Kingdom,5.904,5.814,4.358,2.541,5.845,5.494,8.992,6.947,8.294,5.026,5.738,5.438,5.954,5.94,4.435,6.421,1.268,1123000,http://www.wikidata.org/entity/Q2256,-1.9,52.483333333,13.4,,6,,20,22,23
Brighton,United Kingdom,2.49,5.324,3.409,0.0,8.322,5.548,8.992,8.472,7.716,4.906,8.246,5.438,5.954,4.758,4.87,8.17,4.898,160000,http://www.wikidata.org/entity/Q131491,-0.133888888,50.824166666,13.7,,8.2,851,20,22,23
Bristol,United Kingdom,5.216,5.242,4.113,3.593,4.89,5.444,8.992,7.94,8.252,5.462,6.472,5.438,5.954,6.478,3.862,7.439,4.538,442500,http://www.wikidata.org/entity/Q23154,-2.583333333,51.45,14.2,,7,802.2,20,22,23
Cambridge,United Kingdom,4.106,4.851,5.253,3.284,6.887,5.628,8.992,9.504,8.189,6.555,8.017,5.438,5.954,5.81,2.455,8.487,0.5,123867,http://www.wikidata.org/entity/Q350,0.12250000000000001,52.208055555,14.8,,6.2,576.2,20,22,23
Cardiff,United Kingdom,7.065,6.082,3.396,1.78,4.89,5.765,8.992,8.21,8.318,4.786,6.607,5.438,5.954,5.101,5.028,7.996,4.806,361468,http://www.wikidata.org/entity/Q10690,-3.18,51.48,14.6,10.8,7,1152.1,20,22,23
Edinburgh,United Kingdom,5.845,5.114,4.109,3.337,5.185,5.968,8.992,8.485,8.552,6.093,7.763,5.438,5.954,5.176,7.201,7.922,5.131,464990,http://www.wikidata.org/entity/Q23436,-3.198888888,55.95,12.7,,5.9,704.3,20,22,23
Glasgow,United Kingdom,6.929,5.623,3.505,1.182,6.2,5.352,8.992,7.496,8.813,5.307,7.101,5.438,5.954,4.253,4.671,6.943,3.741,598830,http://www.wikidata.org/entity/Q4093,-4.27,55.87,12.9,,6.2,,20,22,23
Leeds,United Kingdom,6.811,5.363,3.36,4.423,6.595,5.106,8.992,7.731,8.634,4.982,5.922,5.438,5.954,7.329,3.744,7.214,1.296,766399,http://www.wikidata.org/entity/Q39121,-1.549166666,53.799722222,,,,,20,22,23
Liverpool,United Kingdom,7.485,6.02,3.559,2.355,6.65,4.541,8.992,7.728,9.028,4.872,7.275,5.438,5.954,8.994,5.393,7.451,5.459,513441,http://www.wikidata.org/entity/Q24826,-3.0,53.416666666,13.1,10.2,7.2,836.6,20,22,23
London,United Kingdom,1.0,3.94,10.0,9.859,9.402,5.396,8.992,7.244,8.018,9.027,5.548,5.438,5.954,5.846,9.456,6.573,5.374,8787892,http://www.wikidata.org/entity/Q84,-0.1275,51.507222222,15.2,11.3,7.4,601.7,20,22,23
Manchester,United Kingdom,6.456,5.049,5.77,4.908,6.398,4.728,8.992,6.772,8.519,5.652,4.363,5.438,5.954,5.814,4.975,6.677,3.676,545500,http://www.wikidata.org/entity/Q18125,-2.233333333,53.466666666,13.5,10,6.5,828.9,20,22,23
Oxford,United Kingdom,3.65,4.941,4.551,3.843,7.926,5.958,8.992,8.568,7.97,6.638,7.554,5.438,5.954,6.155,5.495,8.258,2.629,152000,http://www.wikidata.org/entity/Q34217,-1.257777777,51.751944444,14.5,10.7,6.9,659.2,20,22,23
Belgrade,Serbia,9.258,8.546,4.91,2.333,2.137,5.578,5.384,6.7,6.01,0.5,4.883,1.638,4.166,3.863,6.497,7.387,5.078,1233796,http://www.wikidata.org/entity/Q3711,20.466666666,44.816666666,17.4,12.5,8.5,690.8,69,84,72
Belize City,Belize,4.642,0.0,1.866,0.0,0.89,0.0,3.411,6.052,5.504,0.0,2.031,3.496,6.93,3.808,1.064,6.865,0.5,57169,http://www.wikidata.org/entity/Q108223,-88.188611111,17.498611111,30.3,26.7,23.1,1891.6,73,118,63
Bengaluru,India,9.811,10.0,10.0,8.973,4.064,4.006,3.618,7.294,3.937,0.656,2.756,5.556,3.414,2.841,3.222,3.484,2.385,10535000,http://www.wikidata.org/entity/Q1355,77.597963,12.969907,29.6,,19.2,,112,89,116
Chennai,India,10.0,10.0,7.104,3.782,4.208,4.842,3.618,7.837,4.075,0.512,2.395,5.556,3.414,6.826,2.228,4.55,4.198,10265000,http://www.wikidata.org/entity/Q1352,80.27,13.09,,,,,112,89,116
Delhi,India,9.752,9.869,9.829,9.099,5.642,3.712,3.618,6.418,3.713,0.512,2.203,5.556,3.414,3.588,5.683,3.116,1.178,26495000,http://www.wikidata.org/entity/Q1353,77.216666666,28.666666666,31.2,25.1,18.9,790,112,89,116
Hyderabad,India,10.0,10.0,8.724,3.585,3.841,4.632,3.618,8.126,3.957,0.0,2.841,5.556,3.414,5.54,4.271,4.132,3.209,9305000,http://www.wikidata.org/entity/Q1361,78.466666666,17.366666666,32.2,26.7,20.5,,112,89,116
Mumbai,India,8.124,9.825,9.853,6.179,5.414,3.94,3.618,7.619,3.802,0.528,2.096,5.556,3.414,3.429,4.968,3.839,5.792,12442373,http://www.wikidata.org/entity/Q1156,72.833333333,18.966666666000002,32.1,,22.8,,112,89,116
Bergen,Norway,5.229,1.805,2.207,1.0,3.243,5.888,9.635,7.708,7.647,4.84,7.539,7.074,4.752,6.537,4.488,7.614,4.314,278556,http://www.wikidata.org/entity/Q26793,5.323333333,60.3925,11.5,8.7,5.9,2347.5,11,32,8
Oslo,Norway,3.768,1.038,5.209,3.869,5.177,5.775,9.635,7.107,7.91,5.145,8.424,7.074,4.752,7.97,5.899,7.03,6.19,634463,http://www.wikidata.org/entity/Q585,10.752777777,59.911111111,9.8,6.3,2.8,802.8,11,32,8
Berlin,Germany,6.395,5.524,9.085,7.82,7.025,6.196,9.072,7.252,7.991,7.019,6.772,5.374,3.904,4.678,8.881,7.177,5.475,3611222,http://www.wikidata.org/entity/Q64,13.383333333,52.516666666,14,9.7,5.9,,18,25,18
Cologne,Germany,6.526,5.607,5.107,3.278,7.282,5.382,9.072,6.63,8.04,5.104,6.48,5.374,3.904,5.666,5.322,6.712,5.289,1075935,http://www.wikidata.org/entity/Q365,6.957777777,50.942222222,14.8,10.3,5.8,838.6,18,25,18
Dresden,Germany,7.885,6.028,2.406,1.533,3.536,4.96,9.072,8.464,8.394,5.125,8.111,5.374,3.904,5.604,6.638,7.369,4.649,547172,http://www.wikidata.org/entity/Q1731,13.733333333000001,51.033333333,13.3,9.4,5.6,664,18,25,18
Dusseldorf,Germany,6.282,5.134,3.389,2.23,6.67,5.283,9.072,8.166,8.004,4.307,7.375,5.374,3.904,5.666,4.664,7.868,5.358,613230,http://www.wikidata.org/entity/Q1718,6.8100000000000005,51.22889,14.9,11.1,7.2,,18,25,18
Frankfurt,Germany,5.957,5.143,3.768,3.399,8.529,5.923,9.072,6.838,7.707,5.206,6.476,5.374,3.904,4.079,6.492,7.034,5.384,736414,http://www.wikidata.org/entity/Q1794,8.679722222,50.113611111,14.8,10.5,6.2,629.3,18,25,18
Hamburg,Germany,5.945,4.904,5.794,4.197,5.685,5.826,9.072,6.459,8.13,4.307,8.124,5.374,3.904,5.56,6.352,7.163,5.088,1810438,http://www.wikidata.org/entity/Q1055,10.0,53.55,12.7,9,5.2,,18,25,18
Hanover,Germany,7.754,6.0,1.0,0.0,5.646,6.55,9.072,7.353,8.134,4.834,9.131,5.374,3.904,5.666,3.526,7.266,4.266,532864,http://www.wikidata.org/entity/Q1715,9.738611111,52.374444444,13.6,9.6,5.5,661.3,18,25,18
Karlsruhe,Germany,7.764,5.294,2.994,1.299,4.798,4.905,9.072,6.858,8.412,5.208,7.768,5.374,3.904,4.594,3.986,8.337,4.589,309999,http://www.wikidata.org/entity/Q1040,8.4,49.016666666,15.8,11,6.7,783.4,18,25,18
Leipzig,Germany,8.177,5.911,2.706,0.0,4.337,6.014,9.072,7.277,7.3,4.307,9.033,5.374,3.904,5.647,4.526,7.194,4.747,591608,http://www.wikidata.org/entity/Q2079,12.383333333,51.333333333,13.7,9.4,5.5,534.4,18,25,18
Munich,Germany,4.23,4.648,6.915,6.509,8.057,6.014,9.072,9.049,8.371,7.554,9.018,5.374,3.904,5.155,7.336,8.474,7.331,1464301,http://www.wikidata.org/entity/Q1726,11.5755,48.137194444,13.9,9.7,5.9,946,18,25,18
Stuttgart,Germany,6.314,5.673,3.756,1.936,5.964,6.205,9.072,8.27,7.851,5.05,7.225,5.374,3.904,5.124,5.556,7.533,3.95,628032,http://www.wikidata.org/entity/Q1022,9.1775,48.776111111,14.5,9.4,4.9,718.7,18,25,18
Bern,Switzerland,4.923,1.0,2.688,0.0,5.264,5.198,8.888,9.266,7.52,5.346,9.244,6.552,6.429,6.115,4.245,8.589,2.122,141833,http://www.wikidata.org/entity/Q70,7.438611111,46.950833333,13.5,8.8,4.3,1059,1,3,2
