city,country,housing,cost_of_living,startups,venture_capital,travel_connectivity,commute,business_freedom,safety,healthcare,education,environmental_quality,economy,taxation,internet_access,leisure_and_culture,tolerance,outdoors,population,city_wd,gps_lon,gps_lat,year_high_c,year_mean_c,year_low_c,year_precipitation_mm,human_freedom,economic_freedom,personal_freedom
Mexico City,Mexico,8.36,9.244,7.48,2.634,2.87,3.806,5.761,5.464,6.38,1.713,2.506,3.5,4.334,5.841,9.962,7.089,3.914,8918653,http://www.wikidata.org/entity/Q1489,-99.145555555,19.419444444,24,17.5,11,846.2,98,64,109
Guatemala City,Guatemala,8.812,8.175,2.641,1.673,0.815,0.524,4.617,6.139,4.764,0.0,3.758,3.805,8.505,2.506,5.164,7.157,4.134,2110100,http://www.wikidata.org/entity/Q1555,-90.531388888,14.622777777,25.5,,15.4,,71,31,95
Helsinki,Finland,5.396,4.121,5.683,5.507,4.75,5.779,9.451,8.674,7.954,5.454,9.301,3.921,4.878,5.104,7.055,7.502,4.798,642045,http://www.wikidata.org/entity/Q1757,24.948611111,60.173333333,9,5.9,2.9,655,8,26,3
Oulu,Finland,3.744,0.0,2.314,2.575,2.716,6.041,9.451,8.459,7.701,5.454,8.933,3.921,4.878,5.723,2.006,8.329,5.072,200526,http://www.wikidata.org/entity/Q47048,25.466666666,65.016666666,6.4,2.7,-1.2,477,8,26,3
Tampere,Finland,6.936,4.622,2.606,2.549,2.848,6.35,9.451,8.689,8.316,5.39,8.922,3.921,4.878,5.792,4.187,8.291,4.571,225118,http://www.wikidata.org/entity/Q40840,23.760833333,61.498055555,8.4,4.4,0.30000000000000004,598,8,26,3
Turku,Finland,7.534,5.07,1.88,1.773,3.224,6.728,9.451,9.176,8.713,5.347,9.105,3.921,4.878,6.682,5.098,7.751,4.538,187604,http://www.wikidata.org/entity/Q38511,22.27,60.451666666,9.3,5.5,1.7000000000000002,723,8,26,3
Ho Chi Minh,Vietnam,8.618,8.844,4.93,1.739,2.08,5.184,4.102,6.768,5.54,4.116,1.42,4.834,5.045,4.565,5.874,5.943,1.258,450000,http://www.wikidata.org/entity/Q21194,107.141666666,10.404166666,30.5,26.7,24.8,1437,132,113,140
Innsbruck,Austria,6.708,4.732,2.126,0.0,5.57,6.374,7.596,8.273,7.885,4.33,7.366,4.663,2.666,5.06,4.424,8.485,3.964,130894,http://www.wikidata.org/entity/Q1735,11.383333333,47.266666666,14.7,8.5,4,896.5,22,33,20
Vienna,Austria,6.314,5.111,5.798,3.635,8.031,6.213,7.596,8.596,8.198,4.855,9.27,4.663,2.666,6.173,8.522,8.964,5.294,1840573,http://www.wikidata.org/entity/Q1741,16.373064,48.20833,15.4,11.4,8.3,547.9,22,33,20
Jakarta,Indonesia,8.671,8.471,5.65,6.437,2.489,3.64,4.029,7.0,4.184,1.028,2.486,4.658,6.266,4.499,8.146,2.066,7.202,9769000,http://www.wikidata.org/entity/Q3630,106.8,-6.166666666,30.1,26.7,23.3,1816,85,66,99
Kathmandu,Nepal,10.0,9.445,3.211,0.0,1.041,5.349,4.74,8.506,4.116,0.0,1.0,4.496,5.513,2.201,5.039,9.129,3.798,975453,http://www.wikidata.org/entity/Q3037,85.366666666,27.716666666000002,25.6,18.9,12.1,1454.9,84,103,86
Kiev,Ukraine,9.084,9.817,4.05,2.545,5.488,5.161,4.525,7.256,4.851,0.5,3.666,1.276,5.478,6.041,8.42,6.827,5.349,2935239,http://www.wikidata.org/entity/Q1899,30.523611111,50.45,12.5,8.4,4.9,621,89,126,82
Lviv,Ukraine,9.778,10.0,4.204,0.0,3.762,5.485,4.525,7.822,4.87,0.0,4.825,1.276,5.478,5.056,7.058,6.716,4.436,758400,http://www.wikidata.org/entity/Q36036,24.0315,49.841888888,12.3,7.8,3.6,748,89,126,82
Kingston,Jamaica,8.896,5.937,2.648,0.0,0.815,4.927,6.568,5.528,6.678,0.0,3.02,1.83,6.073,4.483,4.278,2.844,3.346,580000,http://www.wikidata.org/entity/Q34692,-76.8,17.983333333,31.4,,22.9,813,53,45,61
Kuala Lumpur,Malaysia,8.664,8.238,5.542,4.245,3.562,4.38,7.597,5.881,5.95,2.527,3.87,6.339,6.126,5.462,7.166,1.528,5.739,7590000,http://www.wikidata.org/entity/Q1865,101.7,3.159722222,32.4,28.2,23.9,2628,82,49,101
Lagos,Nigeria,7.767,9.098,6.434,2.51,1.748,3.565,3.256,5.999,2.862,0.0,1.907,5.061,6.216,1.634,1.358,1.406,3.824,21324000,http://www.wikidata.org/entity/Q8673,3.4,6.45,30.8,26.8,22.8,1506.6,124,92,126
La Paz,Bolivia,4.724,0.0,1.498,0.0,1.319,3.834,3.482,6.751,4.316,0.0,1.734,4.536,4.549,1.548,1.525,6.293,5.5,757184,http://www.wikidata.org/entity/Q1491,-68.1475,-16.494166666,14.7,8.8,0.5,602.5,98,123,88
Lima,Peru,8.712,8.496,3.884,1.65,2.012,4.759,5.002,5.29,5.711,0.5,2.481,3.163,6.524,2.41,6.808,6.08,5.388,8574974,http://www.wikidata.org/entity/Q2868,-77.033333333,-12.05,22.5,19.2,17,6.4,56,37,68
Lisbon,Portugal,6.734,7.004,6.022,3.194,4.191,5.316,8.239,8.438,7.86,4.48,6.412,3.483,4.158,6.394,7.834,9.597,5.691,506892,http://www.wikidata.org/entity/Q597,-9.166666666,38.716666666,21.3,17.4,13.5,,24,42,21
Porto,Portugal,8.11,7.422,4.313,1.886,3.112,5.46,8.239,7.705,8.167,4.449,7.039,3.483,4.158,4.494,5.625,9.574,5.948,237591,http://www.wikidata.org/entity/Q36433,-8.62672,41.15556,19.6,15.2,10.7,1236.8,24,42,21
Ljubljana,Slovenia,8.214,6.749,4.088,1.23,2.293,5.699,7.677,8.953,7.672,4.852,8.662,4.72,4.81,5.49,4.799,8.184,1.822,287000,http://www.wikidata.org/entity/Q437,14.516666666,46.05,15.6,10.9,6.6,1361,39,75,29
Luxembourg,Luxembourg,2.453,3.411,3.308,1.899,4.58,5.844,7.857,8.628,8.22,3.48,8.576,7.473,7.151,5.458,4.496,8.804,1.475,114303,http://www.wikidata.org/entity/Q1842,6.132777777,49.610555555,13.1,9.3,5.6,897,10,36,7
Managua,Nicaragua,4.786,0.0,1.866,0.0,0.608,0.0,4.6,7.775,6.404,0.0,3.34,3.94,3.254,1.177,1.837,9.239,1.434,1028808,http://www.wikidata.org/entity/Q3274,-86.266666666,12.15,31.8,27.3,21.8,,123,82,130
Manila,Philippines,8.596,8.752,4.805,3.547,2.634,3.713,4.592,6.434,4.298,0.0,1.683,5.006,4.303,4.608,7.584,5.503,4.826,1780148,http://www.wikidata.org/entity/Q1461,121.0,14.583333333,31.3,28.4,25.5,,103,66,112
Minsk,Belarus,9.496,9.289,4.378,0.0,3.766,5.366,5.596,9.038,5.511,0.5,7.048,3.204,5.926,4.863,6.95,7.422,4.906,1974800,http://www.wikidata.org/entity/Q2280,27.561837,53.902246,10.6,6.7,3.1,690,126,83,142
Montevideo,Uruguay,8.183,6.197,2.863,2.205,1.183,5.288,7.944,5.974,6.655,1.69,4.545,4.416,4.828,2.178,4.946,9.71,5.178,1319108,http://www.wikidata.org/entity/Q1335,-56.166666666,-34.866944444,21.4,16.7,12.4,1101.2,36,68,25
Moscow,Russia,6.555,8.099,5.053,3.705,9.054,4.546,5.387,7.478,4.763,4.572,5.275,3.148,6.017,6.571,8.875,3.475,5.09,12500123,http://www.wikidata.org/entity/Q649,37.617777777,55.755833333,8.9,5,1.2,,119,94,123
Saint Petersburg,Russia,8.36,8.673,4.982,0.0,5.88,4.626,5.547,7.793,4.952,4.282,4.324,3.148,6.044,5.642,9.654,4.338,5.385,5351935,http://www.wikidata.org/entity/Q656,30.316666666,59.95,9.1,5.8,2.7,662,119,94,123
Nairobi,Kenya,8.85,8.432,6.026,4.601,2.314,4.069,3.246,5.972,3.598,0.5,3.199,4.377,5.084,1.889,2.67,2.579,4.05,5545000,http://www.wikidata.org/entity/Q3870,36.816666666,-1.283333333,24.5,17.8,11.1,1061.5,100,78,104
Nicosia,Cyprus,8.631,6.301,3.407,0.0,1.606,5.491,7.439,8.103,6.759,2.475,3.672,2.996,7.508,2.654,6.949,7.506,1.776,330000,http://www.wikidata.org/entity/Q3856,33.35,35.166667,26.2,19.7,13.2,342.2,28,38,27
Panama,Panama,3.153,0.0,3.559,0.0,2.002,0.0,6.209,6.976,6.593,0.0,4.384,6.041,6.948,3.19,5.556,6.786,4.82,880691,http://www.wikidata.org/entity/Q3306,-79.5,9.0,33.8,,20,,55,41,64
Phnom Penh,Cambodia,8.552,8.001,1.498,0.0,1.24,4.68,1.0,6.684,2.984,0.0,2.448,5.38,7.984,3.395,5.407,6.031,3.433,1501725,http://www.wikidata.org/entity/Q1850,104.916666666,11.55,32.9,28.3,24,,116,63,122
Quito,Ecuador,9.016,7.822,2.858,0.0,0.89,4.789,3.021,6.969,6.406,0.0,4.176,3.886,7.514,3.482,4.802,8.826,5.5,2690150,http://www.wikidata.org/entity/Q2900,-78.509722222,-0.21861111100000002,21.4,15.6,9.8,1098.2,70,106,65
Reykjavik,Iceland,2.772,1.0,3.168,2.875,1.135,5.475,9.36,8.658,8.079,4.057,8.624,5.283,4.466,6.742,5.02,9.565,4.804,124800,http://www.wikidata.org/entity/Q1764,-21.883333333,64.15,7.5,4.7,2.3,843.3,7,20,5
Riga,Latvia,8.933,7.329,4.35,1.358,2.372,5.353,7.363,7.626,5.71,4.091,6.966,4.095,5.929,5.841,7.706,6.884,5.526,698529,http://www.wikidata.org/entity/Q1773,24.106944444,56.9475,9.9,6.1,2.3,621.9,15,16,16
Riyadh,Saudi Arabia,8.696,7.806,3.692,2.022,2.46,4.753,6.104,7.583,6.086,0.503,3.351,7.042,10.0,4.13,5.844,2.909,0.5,8002100,http://www.wikidata.org/entity/Q3692,46.71,24.65,33.3,26.8,20.1,,159,86,163
San Jose,Costa Rica,8.164,6.728,3.822,0.0,1.192,3.834,5.95,6.709,7.433,1.21,5.256,4.081,5.752,1.516,6.867,8.939,2.786,288054,http://www.wikidata.org/entity/Q3070,-84.083333333,9.933333333,28.4,22.6,18.7,1971,35,29,39
San Salvador,El Salvador,8.802,7.743,1.67,0.0,1.06,4.686,4.661,5.402,5.559,0.0,1.001,2.659,5.526,1.831,4.858,6.128,1.918,567698,http://www.wikidata.org/entity/Q3110,-89.19,13.69,30.1,23.1,18.4,1734,91,64,104
Santiago,Chile,8.382,7.237,6.23,1.0,2.536,5.551,7.765,6.964,7.066,2.642,4.528,3.725,8.93,1.0,7.556,7.172,5.5,6123491,http://www.wikidata.org/entity/Q2887,-70.666666666,-33.45,22.1,14.2,7.1,281.9,32,33,34
Santo Domingo,Dominican Republic,9.289,8.076,2.228,0.0,1.003,4.565,4.413,5.779,5.026,0.5,2.38,6.114,5.768,4.221,5.797,5.11,3.418,2581827,http://www.wikidata.org/entity/Q34820,-69.893333333,18.476388888,30.4,25.9,21.5,,52,48,56
Sarajevo,Bosnia and Herzegovina,9.692,8.659,2.584,0.0,1.207,5.708,2.58,7.133,6.526,0.0,3.666,2.088,9.118,4.648,5.934,7.736,2.871,275524,http://www.wikidata.org/entity/Q11194,18.416666666,43.866666666,15.8,10.1,5.4,927,63,89,55
Seoul,South Korea,6.143,3.698,5.284,4.066,6.156,5.719,8.279,8.305,8.549,6.866,6.787,5.561,6.608,7.637,8.2,4.484,5.776,9806538,http://www.wikidata.org/entity/Q8684,127.0,37.583333333,17,12.5,8.6,1450.6,30,43,26
Singapore,Singapore,1.745,3.489,9.103,8.697,2.982,5.427,9.725,9.972,7.683,8.246,7.954,7.479,9.959,8.447,7.422,6.495,5.834,5888926,http://www.wikidata.org/entity/Q334,103.8,1.3,31.5,27.5,24.7,,44,2,81
Sofia,Bulgaria,9.306,8.55,4.691,3.155,2.666,5.622,5.295,7.55,5.587,2.014,4.999,3.25,8.721,6.273,5.318,6.741,4.056,1286383,http://www.wikidata.org/entity/Q472,23.333333333,42.7,16.7,11.3,6.2,,41,23,50
Taipei,Taiwan,7.977,5.644,5.469,2.781,2.51,5.606,8.342,9.542,5.905,5.59,6.236,6.636,7.333,5.232,7.264,8.044,5.588,2684567,http://www.wikidata.org/entity/Q1867,121.633333333,25.033333333,26.6,23,20.4,,14,24,12
Tallinn,Estonia,8.377,6.931,5.356,5.829,1.97,5.933,8.129,9.426,7.366,5.355,7.826,4.185,5.341,5.202,7.024,7.839,4.536,430805,http://www.wikidata.org/entity/Q1770,24.745,59.437222222,9.5,5.9,2.4,703,3,8,6
Tartu,Estonia,8.961,7.47,2.778,0.0,1.414,6.441,8.129,9.376,8.395,5.404,9.416,4.185,5.341,4.3,4.081,7.483,3.499,93687,http://www.wikidata.org/entity/Q13972,26.7225,58.38,9.7,5.8,2.1,670,3,8,6
Tel Aviv,Israel,4.91,4.37,7.326,9.16,3.345,4.994,6.79,8.007,8.338,3.767,6.027,5.026,6.918,2.566,5.334,5.516,5.412,432892,http://www.wikidata.org/entity/Q33935,34.8,32.083333333,24,20.3,16.4,,62,49,73
Tunis,Tunisia,9.968,9.998,2.969,0.0,2.608,5.615,6.622,8.292,6.293,0.5,3.28,3.092,2.599,1.072,5.743,4.727,5.366,1200000,http://www.wikidata.org/entity/Q3572,10.18,36.800833333,24.8,19.6,15.2,465.5,113,128,103
Vilnius,Lithuania,8.621,7.576,4.223,2.828,2.105,5.928,7.6,8.857,6.331,3.7,8.718,4.691,6.592,7.926,5.199,7.393,4.106,574147,http://www.wikidata.org/entity/Q216,25.283333333,54.683333333,10.6,6.7,2.8,682.4,17,12,24
Yerevan,Armenia,9.694,9.431,3.926,0.0,1.787,5.649,6.501,8.873,5.102,0.0,4.44,3.458,8.055,3.9,4.737,7.347,7.776,1075800,http://www.wikidata.org/entity/Q1953,44.514444444,40.181388888,18.9,12.4,6.6,296,26,11,37
Zagreb,Croatia,8.91,7.194,4.453,1.775,2.028,4.83,5.72,8.658,7.266,3.211,7.332,2.236,7.993,5.034,4.994,7.955,4.809,790017,http://www.wikidata.org/entity/Q1435,15.95,45.8,15.8,10.7,5.9,840,40,61,37
